Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion
2000,11,1,0.0,3.6,92.2,0.0078,188.0,1.4,129,3
2000,11,2,0.0,3.9,89.7,0.00809,184.5,1.7,191,3
2000,11,3,0.0,4.9,93.5,0.00893,182.3,2.4,282,3
2000,11,4,0.0,3.4,93.8,0.00975,163.1,1.3,227,3
2000,11,5,0.0,2.9,90.0,0.01034,77.9,2.7,28,3
2000,11,6,0.0,3.4,97.0,0.01068,78.2,4.1,110,3
2000,11,7,0.0,5.1,100.0,0.01088,172.8,3.0,155,3
2000,11,8,0.0,5.1,100.0,0.01262,164.5,4.2,155,3
2000,11,9,1.0,6.5,99.6,0.0126,143.8,6.7,176,3
2000,11,10,0.0,4.5,100.0,0.00679,182.2,4.6,277,3
2000,11,11,0.0,4.0,97.1,0.00484,179.4,2.8,344,3
2000,11,12,0.0,3.2,92.1,0.00522,177.0,1.8,18,3
2000,11,13,2.2,3.6,89.0,0.0075,147.3,2.5,180,3
2000,11,14,3.2,3.8,100.0,0.00579,136.4,4.5,284,3
2000,11,15,0.0,3.1,90.8,0.00316,177.1,2.1,317,3
2000,11,16,2.0,2.3,86.5,0.00515,118.1,1.6,256,3
2000,11,17,2.9,2.3,100.0,0.00786,50.6,3.7,280,3
2000,11,18,8.2,1.9,100.0,0.00492,44.7,2.8,308,3
2000,11,19,18.1,1.1,100.0,0.00495,40.0,4.6,9,3
2000,11,20,0.0,3.3,100.0,0.00418,170.7,3.7,327,3
2000,11,21,0.0,3.2,90.1,0.00254,172.6,5.0,298,3
2000,11,22,0.0,3.0,80.3,0.00233,171.0,2.9,307,3
2000,11,23,0.0,2.1,79.3,0.00354,142.2,1.3,274,3
2000,11,24,14.8,1.6,92.3,0.00697,74.3,4.7,42,3
2000,11,25,5.3,2.3,100.0,0.01127,54.0,4.6,154,3
2000,11,26,0.0,3.1,100.0,0.00763,130.4,3.5,248,3
2000,11,27,0.0,3.4,93.9,0.00482,161.5,3.7,276,3
2000,11,28,0.0,3.2,87.6,0.00416,161.7,2.4,280,3
2000,11,29,0.0,3.7,84.5,0.00511,149.5,2.9,261,3
2000,11,30,0.0,3.2,94.6,0.00379,161.6,3.1,306,3
2001,11,1,0.0,4.7,100.0,0.00952,177.9,4.0,82,3
2001,11,2,2.5,2.7,100.0,0.01059,77.4,3.0,59,3
2001,11,3,0.0,4.0,100.0,0.01118,139.9,3.1,53,3
2001,11,4,0.0,4.9,100.0,0.0102,155.4,3.7,36,3
2001,11,5,0.0,6.2,97.5,0.00601,187.1,5.2,32,3
2001,11,6,0.0,4.5,93.7,0.00389,187.0,2.6,275,3
2001,11,7,0.0,4.6,75.2,0.00395,186.6,2.4,247,3
2001,11,8,0.0,5.2,87.9,0.00521,180.9,3.3,291,3
2001,11,9,0.0,4.5,94.7,0.00545,178.8,2.5,67,3
2001,11,10,0.0,3.3,92.4,0.006,178.2,1.4,267,3
2001,11,11,0.0,3.8,90.3,0.00574,164.8,2.0,73,3
2001,11,12,0.0,4.7,99.7,0.00762,154.4,5.1,66,3
2001,11,13,0.0,4.6,96.2,0.00791,130.5,5.5,51,3
2001,11,14,0.0,4.5,100.0,0.00823,121.3,5.7,25,3
2001,11,15,0.0,4.7,97.2,0.00809,59.4,6.5,14,3
2001,11,16,0.0,5.8,88.6,0.00695,166.0,4.5,27,3
2001,11,17,0.0,5.2,94.8,0.00649,167.4,3.5,61,3
2001,11,18,0.0,4.2,100.0,0.0073,165.9,3.4,86,3
2001,11,19,0.0,3.1,98.5,0.00832,145.9,1.7,274,3
2001,11,20,0.0,4.3,97.3,0.00693,141.0,3.1,19,3
2001,11,21,0.0,3.1,95.4,0.00624,136.3,2.6,85,3
